hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_day_of_month,arrival_date_week_number,stays_in_week_nights,stays_in_weekend_nights,adults,children,babies,meal,country,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
Golden Sands Hotel,FALSO,8,2017,2,11,6,26,10,6,,4,HB,Slovenia,,1,10,D,D,3,Debit car deposit,1,Contract,VERDADERO,,No-Show,03/07/2015,Wyn Lomasny,wlomasnyl8@forbes.com,(958) 740-2576,3585706965819340
Golden Sands Hotel,VERDADERO,59,2017,5,3,17,24,8,8,1,,FB,Indonesia,VERDADERO,2,5,E,E,8,Cash deposit,3,Transient-Party,VERDADERO,1,Canceled,03.03.2019,Marlee Keen,mkeenl9@oaic.gov.au,+1 (983) 875-8495,3575553733109510
Ocean Breeze Resort,FALSO,98,2015,1,25,4,15,6,7,4,,BB,China,FALSO,,,C,C,0,Cash deposit,3,Transient-Party,FALSO,0,No-Show,04.12.2018,Rhea Branston,rbranstonla@census.gov,+1 (580) 688-8601,6334469626901610000
Golden Sands Hotel,VERDADERO,89,2019,5,23,20,19,6,5,,,BB,Ukraine,VERDADERO,7,,D,D,10,Cash deposit,7,Contract,VERDADERO,3,Canceled,07.15.2020,Aldwin Hingeley,ahingeleylb@ask.com,(632) 246-4768,36942627929806
Ocean Breeze Resort,FALSO,90,2017,1,26,4,13,4,8,3,3,BB,Thailand,VERDADERO,0,3,G,G,0,Cash deposit,7,Contract,VERDADERO,3,Check-Out,07.08.2020,Denni Lush,dlushlc@hud.gov,818.354.8375,3576312023792800
Ocean Breeze Resort,VERDADERO,21,2020,10,3,37,24,8,10,4,2,HB,Russia,VERDADERO,,2,A,A,3,No deposit,2,Transient,FALSO,6,Canceled,21-08-2020,Felecia Gwilliams,fgwilliamsld@utexas.edu,+1 (457) 540-1052,4917198087634510
Sunset Inn,FALSO,,2015,10,20,39,10,4,7,,5,HB,China,,10,4,C,C,9,Debit car deposit,0,Transient,VERDADERO,10,No-Show,18/02/2018,Daven Laskey,dlaskeyle@g.co,+1 (974) 724-4284,5602243324042390
Mountain View Lodge,FALSO,92,2018,4,13,14,29,10,8,2,4,HB,Russia,FALSO,2,8,E,E,9,Debit car deposit,10,Contract,FALSO,1,No-Show,16-06-2019,Garret Schoolcroft,gschoolcroftlf@virginia.edu,(987) 825-4084,201693706582557
Mountain View Lodge,VERDADERO,13,2018,11,7,41,20,8,8,2,4,BB,Philippines,VERDADERO,5,5,C,C,6,Cash deposit,3,Transient-Party,FALSO,8,No-Show,19-05-2015,Celine Prendeguest,cprendeguestlg@4shared.com,(850) 820-7812,4017955647904
Grand Hotel,FALSO,88,2019,11,24,44,21,8,10,4,2,BB,Yemen,VERDADERO,0,8,E,E,,Debit car deposit,10,Transient-Party,VERDADERO,1,Check-Out,05.15.2015,Georgie Mottram,gmottramlh@unicef.org,(892) 444-8787,4936156976625050000
Golden Sands Hotel,VERDADERO,2,2015,12,7,48,29,10,10,,3,HB,Brazil,FALSO,,9,F,F,7,Credit card deposit,6,Transient,FALSO,3,No-Show,24/07/2015,Amii D'Alesco,adalescoli@google.ru,(585) 914-0324,30396468656158
Grand Hotel,VERDADERO,72,2018,5,9,18,21,8,10,4,1,HB,United States,,4,,E,E,,Debit car deposit,8,Transient-Party,VERDADERO,8,No-Show,08.15.2016,Nero Stanway,nstanwaylj@devhub.com,(514) 261-5908,3531006515344550
Grand Hotel,VERDADERO,47,2019,11,17,43,30,12,6,5,3,HB,Indonesia,VERDADERO,,,G,G,8,Debit car deposit,9,Transient,FALSO,,No-Show,22-07-2016,Jeffry Minihane,jminihanelk@nba.com,625.297.1528,36934798610018
Ocean Breeze Resort,FALSO,0,2017,11,24,44,29,10,4,4,4,HB,Indonesia,FALSO,3,10,E,E,7,Debit car deposit,5,Transient-Party,VERDADERO,8,Canceled,18-03-2015,Isabelle Pearne,ipearnell@ft.com,914.627.9753,4508596960201800
Grand Hotel,VERDADERO,53,2015,10,14,38,11,4,2,5,2,FB,Ivory Coast,VERDADERO,,5,E,E,3,Debit car deposit,1,Contract,VERDADERO,5,Check-Out,11.19.2015,Dominga Henniger,dhennigerlm@google.com.hk,883.896.7392,3529865600215110
Mountain View Lodge,FALSO,,2017,11,27,44,22,8,7,4,4,FB,South Africa,VERDADERO,8,3,D,D,10,Cash deposit,10,Transient-Party,FALSO,7,Canceled,04.26.2019,Pennie Comberbeach,pcomberbeachln@amazon.com,747-346-6777,5602232307312210000
Golden Sands Hotel,FALSO,49,2016,9,19,35,29,10,3,1,1,HB,,VERDADERO,,4,C,C,7,Debit car deposit,9,Contract,FALSO,10,No-Show,14-04-2017,Templeton Manson,tmansonlo@wix.com,769-465-9849,5108750689147780
Grand Hotel,FALSO,93,2020,6,12,22,22,8,9,,,HB,China,,2,10,A,A,,Cash deposit,10,Transient-Party,VERDADERO,3,No-Show,28-04-2015,Newton Tremoille,ntremoillelp@weather.com,+1 (807) 484-4514,5610221791501000
Grand Hotel,VERDADERO,59,2017,8,31,32,12,4,7,1,5,BB,Poland,VERDADERO,4,4,D,D,10,Cash deposit,9,Contract,FALSO,1,No-Show,07.11.2017,Leesa Chainey,lchaineylq@statcounter.com,+1 (320) 926-1083,3564578227542150
Golden Sands Hotel,FALSO,47,2019,8,5,29,26,10,4,4,4,FB,China,,7,10,G,G,8,Cash deposit,1,Transient,VERDADERO,3,Check-Out,22-12-2019,Crosby Vigars,cvigarslr@uiuc.edu,488.415.3682,3585792040246990
Sunset Inn,FALSO,45,2020,6,8,22,19,6,2,3,2,BB,Indonesia,VERDADERO,6,4,C,C,,No deposit,,Transient,VERDADERO,3,Check-Out,06-05-2016,Pru MacGahey,pmacgaheyls@aboutads.info,554.438.5679,6709479362696130000
Grand Hotel,VERDADERO,50,2020,5,30,20,14,4,7,3,3,BB,Indonesia,FALSO,0,2,E,E,4,Debit car deposit,0,Transient,FALSO,6,No-Show,09.25.2016,Stacy Harbinson,sharbinsonlt@exblog.jp,350-626-9583,3529105899120460
Golden Sands Hotel,FALSO,,2016,3,17,11,16,6,9,5,,FB,Georgia,FALSO,7,2,C,C,0,No deposit,2,Contract,FALSO,3,Canceled,19/02/2017,Terry Littlecote,tlittlecotelu@accuweather.com,(196) 395-1283,5602226469790970000
Golden Sands Hotel,VERDADERO,13,2018,5,19,19,11,4,10,2,,BB,Philippines,VERDADERO,,2,A,A,6,Cash deposit,4,Transient-Party,FALSO,,No-Show,24-08-2017,Clare Scriver,cscriverlv@about.com,+1 (120) 152-7662,5007663941428380
Grand Hotel,VERDADERO,55,2018,8,11,30,7,2,5,,5,HB,Greece,FALSO,,7,A,A,10,Cash deposit,7,Contract,FALSO,10,Canceled,15-03-2016,Linus Ruffell,lruffelllw@dot.gov,781-248-9842,6304626097785420000
Golden Sands Hotel,FALSO,91,2018,5,5,17,11,4,10,3,5,BB,Vietnam,VERDADERO,,,E,E,8,Credit card deposit,,Contract,FALSO,7,No-Show,02/04/2016,Brunhilda Bergeon,bbergeonlx@theguardian.com,+1 (476) 465-1525,30592009753138
Mountain View Lodge,VERDADERO,91,2016,3,4,9,5,2,10,4,2,HB,China,FALSO,8,5,E,E,6,Debit car deposit,,Contract,VERDADERO,7,No-Show,03/03/2020,Earl Koppe,ekoppely@spiegel.de,405.347.4167,30556377310144
Ocean Breeze Resort,FALSO,69,2015,2,21,7,24,8,2,,5,FB,Indonesia,FALSO,7,9,C,C,7,No deposit,,Contract,VERDADERO,10,Check-Out,30-11-2020,Sloan Lonnon,slonnonlz@wsj.com,+1 (806) 572-7407,6771569025040620
Sunset Inn,VERDADERO,18,2018,12,22,48,24,8,1,4,3,FB,Indonesia,FALSO,,2,C,C,,No deposit,0,Contract,FALSO,10,Canceled,06.01.2015,Eartha Ickov,eickovm0@ocn.ne.jp,147-367-6215,5602230393493540
Mountain View Lodge,VERDADERO,16,2020,7,15,27,11,4,4,2,1,HB,China,VERDADERO,,,C,C,2,Credit card deposit,7,Contract,FALSO,6,Check-Out,23/10/2015,Delmer Tafani,dtafanim1@indiatimes.com,+1 (767) 553-3346,675998031434140000
Golden Sands Hotel,FALSO,3,2019,9,20,35,9,2,3,4,2,BB,Tanzania,FALSO,1,2,G,G,3,No deposit,10,Transient,FALSO,7,No-Show,04.18.2020,Brody Robarts,brobartsm2@sfgate.com,(982) 658-6346,374283047474176
Ocean Breeze Resort,FALSO,9,2019,12,14,48,1,0,3,3,5,BB,Papua New Guinea,VERDADERO,4,3,A,A,8,Credit card deposit,9,Transient,FALSO,,Canceled,06/12/2016,Pembroke Anfossi,panfossim3@printfriendly.com,494-506-3672,3547580557653300
Sunset Inn,VERDADERO,4,2016,12,23,48,8,2,9,3,4,BB,Indonesia,VERDADERO,0,4,C,C,4,Debit car deposit,9,Transient,FALSO,1,Canceled,10/07/2019,Jenifer Jillings,jjillingsm4@edublogs.org,(276) 436-5673,5602211260297000000
Sunset Inn,VERDADERO,85,2015,7,26,28,6,2,8,2,5,FB,China,FALSO,10,4,C,C,1,Cash deposit,1,Transient-Party,VERDADERO,6,No-Show,13/03/2017,Herc Bergen,hbergenm5@biglobe.ne.jp,(457) 065-4409,3587607638322770
Golden Sands Hotel,VERDADERO,91,2018,2,28,8,8,2,5,1,2,BB,China,FALSO,,,C,C,0,Credit card deposit,9,Contract,FALSO,2,No-Show,14/08/2018,Toby Breazeall,tbreazeallm6@discuz.net,753.817.4007,30390684790834
Golden Sands Hotel,FALSO,,2016,12,15,48,5,2,3,4,,BB,China,FALSO,2,0,F,F,8,Cash deposit,5,Transient-Party,FALSO,8,Check-Out,22/08/2019,Richart Rickersy,rrickersym7@engadget.com,267-450-0262,6759287087459090000
Golden Sands Hotel,VERDADERO,32,2018,3,12,10,17,6,10,2,1,BB,Brazil,FALSO,3,5,E,E,3,No deposit,,Transient-Party,,9,Canceled,14/09/2015,Marijo McQuorkel,mmcquorkelm8@goo.gl,+1 (232) 387-7057,3586446025254580
Golden Sands Hotel,FALSO,54,2017,12,19,48,23,8,10,2,5,HB,Peru,VERDADERO,8,9,E,E,10,Debit car deposit,4,Transient,FALSO,3,Check-Out,04/08/2015,Julianna Ebrall,jebrallm9@facebook.com,974.446.2233,201554931104395
Grand Hotel,FALSO,2,2015,5,21,19,3,0,8,4,5,BB,Argentina,FALSO,8,2,E,E,1,Credit card deposit,0,Transient-Party,FALSO,8,Check-Out,11-01-2018,Mikaela Ashbrook,mashbrookma@infoseek.co.jp,393-703-5138,4017952193894
Sunset Inn,FALSO,52,2015,2,7,5,21,8,7,4,1,HB,Afghanistan,FALSO,0,6,F,F,1,Cash deposit,1,Transient,VERDADERO,7,Check-Out,25/11/2016,Baudoin Kensall,bkensallmb@hao123.com,(158) 643-4467,4175001189943410
Mountain View Lodge,VERDADERO,26,2019,12,2,48,13,4,3,4,,BB,Indonesia,FALSO,10,,G,G,2,Cash deposit,1,Transient,VERDADERO,8,No-Show,19/05/2015,Edwina Bindon,ebindonmc@google.pl,189-908-6188,6761368738661340000
Ocean Breeze Resort,FALSO,80,2017,6,21,23,13,4,8,1,5,BB,China,FALSO,9,3,F,F,4,No deposit,6,Contract,,10,Canceled,29-02-2016,Mozes Radolf,mradolfmd@behance.net,412-127-4074,4903567228157100000
Mountain View Lodge,FALSO,73,2018,12,11,48,19,6,10,5,4,HB,Guinea-Bissau,VERDADERO,8,4,D,D,6,No deposit,,Contract,,1,Canceled,30-05-2016,Gilbertina Van Arsdalen,gvanme@netvibes.com,+1 (415) 518-9297,3555360920601670
Mountain View Lodge,FALSO,71,2016,8,29,32,14,4,6,3,4,BB,Ghana,FALSO,8,8,F,F,10,No deposit,4,Transient-Party,,,Canceled,21-02-2017,Chance Ledner,clednermf@microsoft.com,943.345.7385,5602223394446260
Golden Sands Hotel,FALSO,35,2016,12,19,48,6,2,5,5,1,BB,Indonesia,VERDADERO,,4,E,E,8,No deposit,10,Transient,VERDADERO,0,Check-Out,09.20.2016,Giovanni Biddle,gbiddlemg@barnesandnoble.com,(560) 593-3915,4026543751698130
Ocean Breeze Resort,FALSO,97,2017,10,28,40,6,2,5,5,4,FB,China,VERDADERO,9,,G,G,7,Credit card deposit,1,Transient,VERDADERO,1,No-Show,07.09.2016,Matthieu Stranio,mstraniomh@un.org,+1 (769) 317-1119,374288034501386
Grand Hotel,VERDADERO,94,2016,1,31,4,3,0,2,3,3,FB,Portugal,VERDADERO,,6,A,A,10,Debit car deposit,5,Transient,,5,No-Show,10.14.2015,Thalia Suttie,tsuttiemi@diigo.com,736.445.1730,3565302711869140
Grand Hotel,FALSO,98,2019,7,25,28,21,8,6,5,5,FB,Vietnam,VERDADERO,0,4,A,A,1,Cash deposit,8,Contract,VERDADERO,7,No-Show,07-02-2017,Dasha Newlan,dnewlanmj@themeforest.net,(537) 002-8612,3575209978596850
Grand Hotel,VERDADERO,50,2017,9,29,36,27,10,3,1,1,BB,Nauru,VERDADERO,,7,E,E,10,No deposit,1,Transient-Party,FALSO,,Check-Out,05/09/2016,Vita Brisse,vbrissemk@google.co.jp,(236) 688-7924,56022465304111300
Sunset Inn,VERDADERO,21,2019,11,26,44,19,6,1,,,BB,Bangladesh,FALSO,1,,C,C,,Credit card deposit,8,Transient,FALSO,0,Check-Out,02/08/2018,Nedi Dowson,ndowsonml@guardian.co.uk,+1 (417) 662-4535,3541000414936400
Ocean Breeze Resort,FALSO,46,2017,11,11,42,6,2,5,,3,FB,Guinea-Bissau,VERDADERO,6,7,D,D,10,Credit card deposit,5,Transient,VERDADERO,3,Canceled,10.05.2017,Corina Sainter,csaintermm@mac.com,107.906.1423,560224395376887000
Mountain View Lodge,FALSO,21,2020,12,27,49,25,10,10,1,,BB,Canada,FALSO,,9,C,C,7,No deposit,6,Transient-Party,FALSO,8,No-Show,01.25.2017,Zia Sandry,zsandrymn@blinklist.com,+1 (275) 910-4068,3530092276663750
Golden Sands Hotel,FALSO,19,2020,2,17,7,9,2,1,2,,FB,Indonesia,,10,,A,A,,Credit card deposit,9,Contract,VERDADERO,6,Check-Out,02.24.2019,Mohandis Jaulme,mjaulmemo@omniture.com,138.762.0739,347792668550365
Grand Hotel,FALSO,29,2019,12,28,49,27,10,5,3,,HB,Armenia,FALSO,0,2,D,D,4,No deposit,2,Contract,FALSO,,Canceled,03.15.2016,Pru Deighton,pdeightonmp@bbb.org,644-248-4779,3529404612330410
Mountain View Lodge,FALSO,18,2018,10,20,39,11,4,5,,4,FB,China,FALSO,,10,G,G,1,No deposit,,Contract,VERDADERO,4,Canceled,03.09.2020,Rikki Matteotti,rmatteottimq@example.com,+1 (905) 795-6936,4911413938308280000
Grand Hotel,VERDADERO,66,2016,2,16,7,26,10,8,1,2,FB,Japan,FALSO,,1,G,G,9,No deposit,6,Transient-Party,VERDADERO,9,Canceled,19-05-2015,Raimund Hirsch,rhirschmr@yellowpages.com,(369) 028-6915,560223778671223000
Grand Hotel,FALSO,93,2016,8,29,32,21,8,1,5,,HB,Czech Republic,VERDADERO,6,7,F,F,7,Credit card deposit,5,Transient,VERDADERO,7,Check-Out,03.12.2019,Sheeree Hildrew,shildrewms@acquirethisname.com,945.409.9092,3539144884619510
Sunset Inn,FALSO,85,2017,9,28,36,22,8,7,3,3,FB,China,FALSO,6,1,A,A,1,No deposit,,Transient,VERDADERO,,Check-Out,03.08.2015,Ardelia Laetham,alaethammt@booking.com,242.145.1362,5567021544592880
Grand Hotel,FALSO,52,2020,11,4,41,21,8,3,3,,BB,Greece,FALSO,10,1,C,C,7,Debit car deposit,5,Transient-Party,FALSO,0,Check-Out,01/06/2016,Bari Chesterton,bchestertonmu@barnesandnoble.com,238-213-2933,3549059508896690
Grand Hotel,FALSO,35,2017,10,30,40,22,8,3,2,3,FB,Poland,FALSO,8,7,A,A,10,Credit card deposit,2,Transient-Party,FALSO,8,Check-Out,10.31.2017,Ryan Twitching,rtwitchingmv@xing.com,+1 (711) 401-8794,6385989729844010
Mountain View Lodge,FALSO,25,2015,1,23,4,26,10,6,2,4,FB,Sweden,,9,0,F,F,10,Cash deposit,6,Contract,FALSO,1,No-Show,01/12/2017,Elvin Place,eplacemw@amazon.co.uk,793-655-8820,50187821568228800
Sunset Inn,VERDADERO,39,2015,3,10,10,26,10,1,4,1,BB,Vietnam,FALSO,9,,C,C,0,Credit card deposit,9,Transient-Party,FALSO,5,Check-Out,06/09/2016,Martainn Egiloff,megiloffmx@facebook.com,997-257-4448,374288488413211
Golden Sands Hotel,FALSO,,2017,1,10,2,19,6,9,3,,BB,Iran,FALSO,3,0,G,G,6,Debit car deposit,4,Transient,VERDADERO,,Check-Out,18/05/2019,Britteny Lynagh,blynaghmy@toplist.cz,(310) 796-3937,3581412827043450
Ocean Breeze Resort,VERDADERO,24,2018,2,11,6,15,6,5,4,2,HB,China,FALSO,7,6,C,C,4,Cash deposit,1,Transient-Party,FALSO,2,Check-Out,06.04.2016,Rebecka Crews,rcrewsmz@google.fr,(795) 908-5544,30596945591833
Golden Sands Hotel,FALSO,82,2020,12,18,48,17,6,10,3,3,FB,China,FALSO,7,0,F,F,,Cash deposit,5,Transient,FALSO,8,Canceled,16/12/2018,Jesus Roffey,jroffeyn0@cocolog-nifty.com,(765) 648-1112,6759474398542080000
Golden Sands Hotel,FALSO,92,2017,1,17,3,8,2,6,4,5,HB,Chile,FALSO,6,9,C,C,10,No deposit,5,Transient,FALSO,8,Canceled,07-11-2018,Cassius Matz,cmatzn1@dmoz.org,465-662-0644,4017958692337
Golden Sands Hotel,FALSO,63,2019,2,21,7,21,8,10,,4,FB,Indonesia,,,,G,G,10,Cash deposit,6,Transient,VERDADERO,2,Check-Out,10.21.2016,Jimmy Mangenot,jmangenotn2@cnn.com,425.651.4888,5602223521462650
Golden Sands Hotel,VERDADERO,52,2019,9,16,35,26,10,6,,4,BB,Taiwan,,10,0,C,C,1,Debit car deposit,9,Contract,FALSO,3,No-Show,04-08-2019,Griz Scimonelli,gscimonellin3@timesonline.co.uk,583.533.8464,63044017349418100
Golden Sands Hotel,FALSO,,2016,7,20,27,30,12,8,1,2,FB,Poland,VERDADERO,,1,E,E,2,No deposit,7,Transient-Party,VERDADERO,,Canceled,10-09-2016,Florri Epton,feptonn4@newyorker.com,+1 (726) 324-8975,3537084124272910
Ocean Breeze Resort,FALSO,74,2017,4,13,14,23,8,8,1,3,HB,Ireland,VERDADERO,,3,G,G,8,Credit card deposit,6,Transient,FALSO,5,Check-Out,05-08-2020,Maud Nealy,mnealyn5@trellian.com,(206) 341-7725,4911684861580410000
Golden Sands Hotel,FALSO,19,2015,4,28,16,8,2,6,3,5,HB,Colombia,VERDADERO,1,3,D,D,3,Credit card deposit,8,Transient,,10,Canceled,22-03-2017,Veronike Baron,vbaronn6@usa.gov,615.246.0518,3568312733620630
Mountain View Lodge,VERDADERO,28,2015,7,24,28,7,2,8,3,,HB,Philippines,VERDADERO,10,0,D,D,3,Credit card deposit,7,Transient-Party,,1,Canceled,20/11/2018,Heall Tilliards,htilliardsn7@amazonaws.com,+1 (969) 035-0972,6759697663378000000
Golden Sands Hotel,VERDADERO,30,2017,5,22,20,29,10,3,3,4,BB,China,FALSO,,4,C,C,1,Cash deposit,4,Transient-Party,VERDADERO,1,Canceled,29-07-2018,Dorolisa Carragher,dcarraghern8@quantcast.com,613.098.6004,3570306202580890
Ocean Breeze Resort,VERDADERO,1,2020,12,15,48,10,4,3,3,1,FB,Argentina,VERDADERO,1,5,E,E,6,Cash deposit,3,Contract,,10,No-Show,16/03/2018,Woodie Storm,wstormn9@netlog.com,846-215-8309,3538457281849190
Grand Hotel,VERDADERO,22,2018,1,25,4,1,0,3,1,,BB,Nigeria,VERDADERO,,,A,A,6,Debit car deposit,7,Transient-Party,VERDADERO,2,No-Show,18/11/2015,Briant Learie,bleariena@salon.com,+1 (695) 928-1780,630420022681106000
Ocean Breeze Resort,FALSO,69,2015,12,10,48,9,2,9,4,4,HB,France,FALSO,7,,E,E,0,No deposit,,Transient,VERDADERO,9,Check-Out,15/01/2020,Jolene Tasseler,jtasselernb@gmpg.org,+1 (303) 566-5918,5641824684526390
Mountain View Lodge,VERDADERO,,2015,9,6,33,28,10,1,4,3,HB,Portugal,FALSO,9,2,A,A,6,No deposit,,Transient-Party,VERDADERO,7,No-Show,05-06-2020,Gale Vale,gvalenc@squarespace.com,+1 (561) 966-4051,564182503022535000
Grand Hotel,VERDADERO,64,2019,1,27,4,16,6,7,4,4,HB,Russia,VERDADERO,,3,F,F,2,Cash deposit,5,Transient,VERDADERO,10,No-Show,06/03/2018,Mortie Elstob,melstobnd@smh.com.au,(545) 378-1715,3565256070215290
Mountain View Lodge,VERDADERO,71,2016,3,24,12,7,2,5,,5,HB,Brazil,,,6,E,E,3,No deposit,8,Transient,,8,No-Show,08/04/2015,Bradney Candwell,bcandwellne@wsj.com,720-850-0352,3574491705428230
Grand Hotel,VERDADERO,58,2017,7,10,26,1,0,8,4,4,FB,Philippines,VERDADERO,,9,C,C,2,Cash deposit,,Contract,FALSO,2,Check-Out,22/10/2020,Rafi Ritter,rritternf@economist.com,320-767-2334,3561144720889020
Golden Sands Hotel,VERDADERO,46,2020,3,22,12,9,2,9,5,,BB,South Africa,,8,10,E,E,3,Cash deposit,6,Contract,FALSO,4,Canceled,29-12-2016,Alasteir Gouda,agoudang@telegraph.co.uk,(972) 737-8566,3570640360339380
Grand Hotel,FALSO,62,2019,12,29,49,23,8,6,5,2,BB,Czech Republic,VERDADERO,10,0,F,F,2,No deposit,3,Transient-Party,FALSO,10,No-Show,12.09.2020,Borden Vasser,bvassernh@godaddy.com,285-970-0505,3545569079914310
Ocean Breeze Resort,FALSO,33,2018,8,8,30,14,4,7,3,1,BB,China,FALSO,3,10,D,D,2,No deposit,6,Contract,VERDADERO,1,Canceled,13-10-2020,Wenonah Kleynen,wkleynenni@google.it,851-194-6454,3583704280757520
Grand Hotel,VERDADERO,24,2020,3,9,10,19,6,7,2,1,FB,Cameroon,VERDADERO,10,10,F,F,0,Debit car deposit,10,Contract,VERDADERO,0,Check-Out,01/02/2020,Glenna Falkus,gfalkusnj@sciencedaily.com,+1 (190) 686-8355,67060506736959000
Mountain View Lodge,VERDADERO,84,2015,2,7,5,1,0,6,1,1,FB,China,FALSO,3,2,A,A,0,Debit car deposit,5,Transient-Party,FALSO,7,Canceled,28/08/2020,Nicolas Kamenar,nkamenarnk@spiegel.de,(146) 081-4024,493686348267430000
Mountain View Lodge,FALSO,19,2017,4,12,14,24,8,4,1,5,HB,Albania,FALSO,,,A,A,1,Debit car deposit,1,Contract,VERDADERO,2,Check-Out,30-12-2018,Flinn Goolden,fgooldennl@webs.com,800-354-1015,5498118773174050
Grand Hotel,FALSO,60,2019,3,5,9,24,8,6,4,1,HB,China,,1,7,G,G,,Cash deposit,5,Contract,FALSO,2,No-Show,05.03.2016,Tami Whittuck,twhittucknm@ucoz.com,(820) 543-0551,670914277616757000
Sunset Inn,FALSO,84,2015,5,26,20,13,4,1,3,4,FB,Ukraine,VERDADERO,,,D,D,8,No deposit,6,Contract,VERDADERO,9,Check-Out,01.09.2019,Reynolds Robottom,rrobottomnn@artisteer.com,388-606-0171,3574985863491930
Golden Sands Hotel,VERDADERO,24,2020,7,1,25,18,6,1,2,1,HB,Ireland,FALSO,,6,C,C,3,No deposit,7,Contract,VERDADERO,,Canceled,10/02/2018,Lucie MacEllen,lmacellenno@multiply.com,407-777-0263,4175008013087820
Golden Sands Hotel,FALSO,72,2016,7,29,28,27,10,9,3,1,HB,,VERDADERO,,3,D,D,7,No deposit,8,Contract,FALSO,9,Canceled,21/01/2015,Grier Sinney,gsinneynp@moonfruit.com,223-044-9453,5602217765892820
Grand Hotel,VERDADERO,25,2016,7,28,28,15,6,10,3,3,HB,Thailand,FALSO,,8,F,F,9,Cash deposit,7,Transient,,,Canceled,17-03-2020,Ulrika Sieve,usievenq@pagesperso-orange.fr,610.253.0408,3544141861221600
Mountain View Lodge,FALSO,79,2020,10,1,37,23,8,10,2,3,FB,Norway,VERDADERO,,,G,G,5,No deposit,7,Transient,,10,Check-Out,09/08/2019,Barnabas Sheen,bsheennr@sphinn.com,647.716.1711,5007667664649800
Mountain View Lodge,VERDADERO,11,2020,1,30,4,22,8,7,5,,FB,Russia,VERDADERO,,,A,A,8,Credit card deposit,,Transient-Party,FALSO,3,Check-Out,02/04/2020,Ginger McAlinion,gmcalinionns@exblog.jp,(499) 871-1457,3577412221154000
Golden Sands Hotel,VERDADERO,25,2020,1,31,4,2,0,7,4,3,HB,Syria,VERDADERO,7,2,E,E,3,No deposit,4,Transient,FALSO,7,Check-Out,10-03-2018,Fonzie Cornall,fcornallnt@exblog.jp,(118) 324-7748,675926719050278000
Golden Sands Hotel,VERDADERO,81,2019,3,9,10,21,8,5,4,5,BB,,VERDADERO,,7,F,F,6,No deposit,8,Contract,VERDADERO,4,Check-Out,27-02-2016,Rebekkah Pownall,rpownallnu@bluehost.com,642-855-1056,3585296044684450
Golden Sands Hotel,VERDADERO,5,2019,4,6,13,10,4,7,4,2,HB,Angola,FALSO,4,,E,E,5,Cash deposit,10,Transient-Party,VERDADERO,,Canceled,05/07/2019,Florie Korpolak,fkorpolaknv@wisc.edu,337.566.9675,30088052919288
Ocean Breeze Resort,FALSO,14,2017,1,16,3,26,10,3,5,1,HB,China,VERDADERO,3,6,F,F,2,Cash deposit,10,Transient,VERDADERO,10,Canceled,06.19.2020,Kattie Selwood,kselwoodnw@omniture.com,(324) 792-8270,3560366437723890
Sunset Inn,FALSO,87,2020,7,11,26,6,2,9,2,1,BB,China,VERDADERO,10,0,E,E,9,Debit car deposit,1,Contract,FALSO,9,Check-Out,06/05/2018,Pamela Staning,pstaningnx@twitpic.com,798-632-5986,3539953665869830
Golden Sands Hotel,VERDADERO,1,2015,8,9,30,1,0,10,2,1,FB,Russia,VERDADERO,4,,A,A,5,Debit car deposit,8,Transient-Party,FALSO,4,Check-Out,02.18.2017,Winonah Millington,wmillingtonny@sohu.com,(159) 088-4037,372301808579868
Sunset Inn,FALSO,61,2018,6,22,24,4,0,2,2,4,HB,Netherlands,VERDADERO,,,A,A,8,Credit card deposit,10,Transient-Party,,,Check-Out,09.08.2019,Madelon Yanez,myaneznz@shop-pro.jp,633-325-3475,3539250903409860
Mountain View Lodge,VERDADERO,86,2018,2,20,7,29,10,10,3,,HB,Ukraine,FALSO,9,6,F,F,1,Debit car deposit,2,Transient,VERDADERO,0,Canceled,12.16.2017,Moreen Lehr,mlehro0@studiopress.com,+1 (442) 686-2593,4405060221243870
Ocean Breeze Resort,VERDADERO,52,2017,9,5,33,8,2,1,,5,FB,Japan,VERDADERO,4,9,A,A,8,Debit car deposit,8,Transient-Party,VERDADERO,3,No-Show,08.08.2020,Luciano Iliff,liliffo1@wired.com,793-064-4636,3546589146202050
Sunset Inn,VERDADERO,,2016,6,5,21,25,10,4,4,2,BB,Greece,VERDADERO,,8,A,A,6,No deposit,,Transient,VERDADERO,1,Canceled,24-04-2018,Ryley Steanyng,rsteanyngo2@phpbb.com,(422) 489-0799,3563023200785960
Golden Sands Hotel,VERDADERO,39,2017,2,5,5,10,4,7,2,1,FB,Philippines,FALSO,,0,D,D,9,Debit car deposit,,Transient,FALSO,7,No-Show,06.16.2019,Pen Golda,pgoldao3@vinaora.com,+1 (263) 379-1223,3576994487780980
Ocean Breeze Resort,VERDADERO,11,2016,9,5,33,19,6,4,,2,BB,Greece,FALSO,,3,A,A,8,Credit card deposit,,Transient-Party,,10,No-Show,28/02/2015,Umberto Joe,ujoeo4@mozilla.com,+1 (257) 411-5591,3537875467948650
